Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
"Trampush et al. (2014) (Elliott and Cartier, 1986)","Piceance Creek at White River, CO",0.45114244,0.0024,0.00748,,2.32,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Jones Falls at Sorrento, MD",0.130508619,0.0016,0.0077,,1.04,
Singer (2010),Sacramento River,0.12,0.00092,0.05407919,152.4,8.354568,3157.625685
Singer (2010),Sacramento River,0.06,0.00119,0.077784783,152.4,6.193536,1689.571847
Singer (2010),Sacramento River,0.06,0.00119,0.05526036,95.3,6.43128,919.351476
Singer (2010),Sacramento River,0.09,0.00078,0.034692787,76.2,5.82168,825.1183498
Singer (2010),Sacramento River,0.1,0.001,0.043900078,76.2,8.052816,1577.015169
Singer (2010),Sacramento River,0.1,0.00161,0.047059965,114.3,9.451848,2700.865566
Singer (2010),Sacramento River,0.1,0.00062,0.032955358,104.8,8.232648,2338.137893
Singer (2010),Sacramento River,0.08,0.00015,0.056824158,142.9,11.006328,4828.509113
Singer (2010),Sacramento River,0.07,0.00099,0.056973371,152.4,9.305544,3063.236196
Singer (2010),Sacramento River,0.12,0.00109,0.027525957,114.3,10.600944,3368.49236
Singer (2010),Sacramento River,0.14,0.00073,0.026030896,76.2,11.196828,1851.440297
Singer (2010),Sacramento River,0.1,0.00063,0.052944905,114.3,12.37488,3451.255033
Singer (2010),Sacramento River,0.12,0.0012,0.050776551,76.2,12.943332,2603.784212
Singer (2010),Sacramento River,0.08,0.00059,0.075010983,104.8,11.489436,2998.191303
Singer (2010),Sacramento River,0.16,0.00035,0.029750039,95.3,13.046964,3792.295791
Singer (2010),Sacramento River,0.07,0.00062,0.048538475,114.3,11.164824,2896.8364
Singer (2010),Sacramento River,0.18,0.00087,0.023408014,114.3,12.819888,3677.936128
Singer (2010),Sacramento River,0.1,0.00104,0.048051609,171.5,12.932664,5411.802577
Singer (2010),Sacramento River,0.56,0.00039,0.009433679,152.4,12.257532,4688.800171
Singer (2010),Sacramento River,3.48,0.00008,0.001607392,228.6,11.777472,7646.217482
Singer (2010),Sacramento River,0.06,0.00027,0.065737885,133.4,9.7155,3719.656899
Singer (2010),Sacramento River,0.05,0.00061,0.081378729,171.5,8.996172,3533.11161
Singer (2010),Sacramento River,0.04,0.0006,0.080884284,161.9,8.109204,2980.23789
Singer (2010),Sacramento River,0.05,0.00074,0.07314272,104.8,9.137904,1608.85593
Singer (2010),Sacramento River,0.06,0.00062,0.059552248,133.4,6.920484,1929.472462
Singer (2010),Sacramento River,0.09,0.00071,0.054465858,133.4,9.032748,1867.701304
Singer (2010),Sacramento River,0.06,0.00051,0.033150317,114.3,6.0198,1403.648806
Singer (2010),Sacramento River,0.05,0.00112,0.069330453,133.4,9.176004,1958.526294
Singer (2010),Sacramento River,0.07,0.00077,0.031583553,142.9,6.915912,2065.513194
Singer (2010),Sacramento River,0.29,0.00038,0.010095306,95.3,9.19734,1402.410403
Singer (2010),Sacramento River,0.05,0.00052,0.045889815,104.8,8.043672,1584.796432
Singer (2010),Sacramento River,0.08,0.00065,0.028518052,95.3,9.124188,1565.16321
Singer (2010),Sacramento River,0.08,0.00079,0.028901133,114.3,9.118092,1948.910102
Singer (2010),Sacramento River,0.32,0.00051,0.008106626,114.3,9.948672,2171.92443
Singer (2010),Sacramento River,0.06,0.00094,0.044345976,142.9,11.51382,3520.995239
Singer (2010),Sacramento River,7.13,0.00059,0.000598293,114.3,9.559923915,1802.953851
Singer (2010),Sacramento River,0.16,0.00048,0.033667833,161.9,11.07845857,2833.891859
Singer (2010),Sacramento River,0.06,0.00018,0.050469445,114.3,7.087704956,1296.199482
Singer (2010),Sacramento River,4.5,0.00073,0.00069341,104.8,9.617309621,1380.814846
Singer (2010),Sacramento River,0.09,0.00075,0.018286001,133.4,5.70095202,1193.995989
Singer (2010),Sacramento River,0.2,-0.00016,0.010966874,104.8,8.058284596,1249.872174
Singer (2010),Sacramento River,0.05,0.00055,0.039560921,133.4,6.457035358,1627.986497
Singer (2010),Sacramento River,1.69,0.00135,0.000857414,142.9,7.757414496,2061.874229
Singer (2010),Sacramento River,0.04,0.00041,0.019140497,171.5,7.091160745,2639.010927
Singer (2010),Sacramento River,0.11,-0.00032,0.029475083,181,7.599424605,2434.627661
Singer (2010),Sacramento River,3.85,0.00022,0.000565194,133.4,6.006314777,1706.646293
Singer (2010),Sacramento River,0.15,0.00014,0.006420659,85.7,4.907527659,706.5662022
Singer (2010),Sacramento River,0.03,0.00067,0.033957788,114.3,6.248180246,1428.334004
Singer (2010),Sacramento River,2.34,0.00132,0.000634909,133.4,7.19393689,1545.070602
Singer (2010),Sacramento River,0.06,0.00087,0.03616963,133.4,9.120631659,2263.04761
Singer (2010),Sacramento River,3.76,-0.00021,0.000475227,95.3,8.544307674,1661.115944
Singer (2010),Sacramento River,0.05,-0.00025,0.04008103,123.8,7.941590231,1986.001119
Singer (2010),Sacramento River,2.33,0.00025,0.000601415,142.9,6.410432714,1996.99082
Singer (2010),Sacramento River,0.04,0.00022,0.015556185,133.4,5.535600113,1432.591167
Singer (2010),Sacramento River,0.16,0.0003,0.004973704,133.4,6.204530957,1580.877261
Singer (2010),Sacramento River,1.35,0.0003,0.000577312,133.4,6.204530957,1580.877261
Singer (2010),Sacramento River,2.69,0.00117,0.000494478,123.8,7.116849316,1541.865404
Singer (2010),Sacramento River,0.19,0.00044,0.007223516,123.8,6.826720746,1817.068261
Singer (2010),Sacramento River,0.1,0.00022,0.015662801,142.9,8.273990453,2246.471148
Singer (2010),Sacramento River,0.03,0.00016,0.022964812,123.8,7.252435552,1759.788982
Singer (2010),Sacramento River,0.04,0.00049,0.021893314,133.4,8.706608465,2322.923138
Singer (2010),Sacramento River,0.04,0.00132,0.024191561,123.8,8.589549052,1584.445397
Singer (2010),Sacramento River,0.07,0.00011,0.016488908,133.4,9.141962636,2475.661766
Singer (2010),Sacramento River,0.07,0.00021,0.015907278,95.3,10.05578039,1226.644315
Singer (2010),Sacramento River,2.68,0.00047,0.000358087,85.7,10.11844792,1144.639303
Singer (2010),Sacramento River,0.23,0.0002,0.005387677,114.3,10.10339353,1743.775
Singer (2010),Sacramento River,0.06,-0.00055,0.026084972,114.3,9.655429202,1500.917159
Singer (2010),Sacramento River,5.05,0.00074,0.000355398,85.7,11.55000672,1326.379672
Singer (2010),Sacramento River,0.33,0.00032,0.003551709,85.7,8.0473641,1000.0057
Singer (2010),Sacramento River,1.52,-0.00008,0.000793265,95.3,12.23687959,944.6014462
Singer (2010),Sacramento River,2.46,0.00103,0.000353569,95.3,11.5482072,1122.555029
Singer (2010),Sacramento River,0.15,0.00025,0.004707294,114.3,11.88883257,1182.2374
Singer (2010),Sacramento River,3.51,-0.0005,0.000339634,85.7,12.86045499,1388.697651
Singer (2010),Sacramento River,0.12,-0.00003,0.009986455,95.3,11.66298308,1456.041797
Singer (2010),Sacramento River,2.35,0.00007,0.000368113,114.3,10.66732553,1548.479641
Singer (2010),Sacramento River,1.77,0.00013,0.000439965,95.3,11.05716111,1454.171486
Singer (2010),Sacramento River,2.44,0.00016,0.000329487,85.7,10.59397217,916.9824491
Singer (2010),Sacramento River,1.46,0.00012,0.000581366,85.7,11.10571926,1256.323386
Singer (2010),Sacramento River,4.04,0.00007,0.000195428,133.4,10.5839789,1567.212092
Singer (2010),Sacramento River,2.6,0.00011,0.000411087,95.3,10.80253046,1482.45286
Singer (2010),Sacramento River,2.46,0.00006,0.000345375,95.3,9.913237977,1265.940316
Singer (2010),Sacramento River,2.01,-0.00009,0.000307239,85.7,9.87604155,1159.536162
Singer (2010),Sacramento River,1.46,-0.0001,0.000373275,95.3,9.04436357,991.2170255
Singer (2010),Sacramento River,1.69,0.00054,0.000357495,85.7,11.63011572,1096.371009
Singer (2010),Sacramento River,1.22,0.00025,0.000392874,95.3,9.754869248,994.7137721
Singer (2010),Sacramento River,1.48,-0.00067,0.000406144,85.7,11.41705521,1076.285795
Singer (2010),Sacramento River,1.89,0.00003,0.00022052,76.2,10.65677196,795.8051029
Singer (2010),Sacramento River,0.96,0.00047,0.000433725,76.2,11.64593275,967.2878823
Singer (2010),Sacramento River,1.17,0.00006,0.000338544,66.7,10.46854613,670.3219458
Singer (2010),Sacramento River,1.36,-0.00024,0.000339304,66.7,13.14159762,894.0754525
Singer (2010),Sacramento River,0.87,0.00023,0.000344824,66.7,11.23135901,764.1142789
Singer (2010),Sacramento River,1.13,0.00002,0.00033879,66.7,11.69424557,787.8062413
Singer (2010),Sacramento River,0.68,0.00019,0.000795503,66.7,12.26916831,834.7205968
Singer (2010),Sacramento River,0.39,-0.0001,0.000332664,66.7,11.31702113,792.5875748
Singer (2010),Sacramento River,0.02,-0.00006,0.000350943,76.2,12.39039977,896.9410394
Singer (2010),Sacramento River,0.22,-0.00008,0.000378593,76.2,10.75681563,918.0296731
Singer (2010),Sacramento River,1.12,0.00055,0.000337543,85.7,14.26744486,1320.537626
Singer (2010),Sacramento River,2.11,0.00064,0.000317293,85.7,11.97308407,1221.051033
Singer (2010),Sacramento River,1.94,-0.00079,0.000444765,133.4,13.02628917,2206.887859
Singer (2010),Sacramento River,1.34,-0.00029,0.000540167,142.9,11.54408957,1913.594463
Singer (2010),Sacramento River,3.02,0.00005,0.000227494,152.4,9.384759409,1902.215654
Singer (2010),Sacramento River,1.36,0.00032,0.000548663,161.9,10.68164585,2178.991664
Singer (2010),Sacramento River,1.02,0.00009,0.000340791,133.4,9.13818432,1535.982573
Singer (2010),Sacramento River,0.64,-0.00007,0.000458557,181,11.17378465,2608.966978
Singer (2010),Sacramento River,0.8,-0.00007,0.000368349,171.5,11.17378465,2472.032247
Gaurav et al. (2015),Main Kosi,1.309090909,0.00024,0.0003,436,2.7,1532
Gaurav et al. (2015),Main Kosi,1.212121212,0.00024,0.0003,183,2.5,335
Gaurav et al. (2015),Main Kosi,1.696969697,0.00024,0.0003,170,3.5,387
Gaurav et al. (2015),Main Kosi,1.454545455,0.00024,0.0002,29,2,45
Gaurav et al. (2015),Main Kosi,1.745454545,0.00024,0.0002,639,2.4,2197
Gaurav et al. (2015),Main Kosi,1.672727273,0.00024,0.0002,647,2.3,2102
Gaurav et al. (2015),Main Kosi,0.592592593,0.00024,0.00027,78,1.1,42
Gaurav et al. (2015),Main Kosi,1.616161616,0.00024,0.00027,200,3,808
Gaurav et al. (2015),Main Kosi,1.616161616,0.00024,0.00027,182,3,749
Gaurav et al. (2015),Main Kosi,0.592592593,0.00024,0.00027,78,1.1,39
Gaurav et al. (2015),Main Kosi,0.377104377,0.00024,0.00027,171,0.7,55
Gaurav et al. (2015),Main Kosi,0.592592593,0.00024,0.00027,282,1.1,276
Gaurav et al. (2015),Main Kosi,1.187384045,0.00024,0.000245,113,2,256
Gaurav et al. (2015),Main Kosi,1.60296846,0.00024,0.000245,151,2.7,640
Gaurav et al. (2015),Main Kosi,1.543599258,0.00024,0.000245,181,2.6,249
Gaurav et al. (2015),Main Kosi,1.256198347,0.00024,0.00022,363,1.9,730
Gaurav et al. (2015),Main Kosi,0.743801653,0.00027,0.00022,146,1,127
Gaurav et al. (2015),Main Kosi,1.41322314,0.00027,0.00022,132,1.9,326
Gaurav et al. (2015),Main Kosi,1.26446281,0.00027,0.00022,200,1.7,220
Gaurav et al. (2015),Main Kosi,2.337662338,0.00027,0.000245,58,3.5,228
Gaurav et al. (2015),Main Kosi,1.536178108,0.00027,0.000245,568,2.3,1374
Gaurav et al. (2015),Main Kosi,2.337662338,0.00027,0.000245,56,3.5,235
Gaurav et al. (2015),Main Kosi,1.469387755,0.00027,0.000245,504,2.2,1094
Gaurav et al. (2015),Main Kosi,0.601113173,0.00027,0.000245,144,0.9,66
Gaurav et al. (2015),Main Kosi,1.41322314,0.00027,0.00022,118,1.9,204
Gaurav et al. (2015),Main Kosi,2.454545455,0.00027,0.00018,428,2.7,943
Gaurav et al. (2015),Main Kosi,1.727272727,0.00027,0.00018,145,1.9,274
Gaurav et al. (2015),Main Kosi,1.090909091,0.00027,0.00018,254,1.2,226
Gaurav et al. (2015),Main Kosi,0.818181818,0.00027,0.00018,335,0.9,193
Gaurav et al. (2015),Main Kosi,1.818181818,0.00027,0.00018,217,2,363
Gaurav et al. (2015),Main Kosi,1.8,0.00027,0.0002,38,2.2,87
Gaurav et al. (2015),Main Kosi,1.533333333,0.00022,0.0002,996,2.3,2846
Gaurav et al. (2015),Main Kosi,2.866666667,0.00022,0.0002,119,4.3,408
Gaurav et al. (2015),Main Kosi,2.424242424,0.00019,0.000095,370,2,713
Gaurav et al. (2015),Main Kosi,7.854545455,0.00048,0.0002,345,5.4,2462
Gaurav et al. (2015),Main Kosi,5.146853147,0.00048,0.00026,558,4.6,2819
Gaurav et al. (2015),Main Kosi,2.461538462,0.00048,0.00026,559,2.2,2584
Gaurav et al. (2015),Main Kosi,2.34965035,0.00042,0.00026,60,2.4,111
Gaurav et al. (2015),Main Kosi,2.34965035,0.00042,0.00026,68,2.4,113
Gaurav et al. (2015),Main Kosi,2.545454545,0.00042,0.00026,65,2.6,114
Gaurav et al. (2015),Main Kosi,6.745454545,0.00042,0.0002,68,5.3,113
Gaurav et al. (2015),Main Kosi,1.31986532,0.00042,0.00027,53,1.4,57
Gaurav et al. (2015),Main Kosi,3.869090909,0.00042,0.00025,52,3.8,123
Gaurav et al. (2015),Main Kosi,3.563636364,0.00042,0.00025,38,3.5,98
Gaurav et al. (2015),Main Kosi,0.848484848,0.00042,0.00021,30,0.7,9
Gaurav et al. (2015),Main Kosi,0.606060606,0.00042,0.00021,72,0.5,16
Gaurav et al. (2015),Main Kosi,0.606060606,0.00042,0.00021,50,0.5,9
Gaurav et al. (2015),Main Kosi,0.96969697,0.00042,0.00021,32,0.8,8
Gaurav et al. (2015),Main Kosi,1.575757576,0.00042,0.00021,51,1.3,11
Gaurav et al. (2015),Main Kosi,1.818181818,0.00042,0.00021,40,1.5,18
Gaurav et al. (2015),Main Kosi,0.848484848,0.00042,0.00021,73,0.7,9
